UniProtID,UniRef50_Cluster
A2A288,"A2A288,A2A288-3,H2PKK4,A0A2I3T542,A0A6D2Y5R2,G3QRX9,F7GDT9,G3TMU8,A0A4U1FLY8,L9LDK2"
A2A2Y4,"A2A2Y4,A0A1D5QEI6,A0A2K6RXX8,A0A2K5VZC0,A0A8J8YAZ4,A0A2K6DKK9,A0A2K5YF01,U3CU97,A0A2K5RFH0,A0A6J3IW10"
A2IDD5,"A2IDD5,H3BLT8,A0A2I3SSG8,A0A6D2XEE1,A0A8B7RTJ1,A0A8B7RT65,A0A8B7RTJ6,A0A8B7RVC6,A0A8B7RT95,A0A8B7RYL6"
A2PYH4,"A2PYH4,C9JQP7,B7ZM00,D2KTB2,A0A2K5LLL1,A0A2K6RWA9,H2N6T1,A0A2J8MH67,H2RCF9,A0A2I2ZMG2"
A2RRP1,"A2RRP1,Q4ZG05,A0A2R9AQE7,H2P6X5,A0A2J8V465,A0A2R9AQH7,A0A2R9AQJ6,A2RRP1-2,A0A2J8V476,G1UI26"
A2RTX5,"A2RTX5,A6QNM8,Q0V9S0,A0A803KHF6,K7CBL1,A0A2J8VXW5,K7B3W5,H2QA60,A0A2R9BYK9,G3QXW0"
A2RU14,"A2RU14,E9PL96,A0A2J8WZY2,A0A2J8N1L0,A0A2J8X009,A0A2J8N1L9,E9PQM6,A0A6D2WRX2,A0A2J8N1M0,G3RHQ3"
A2RU30,"Q3U132,A2RU30,Q3U132-3,A0A8C6GJ44,A0A6P5QCM4,A0A8C0RNT0,A0A3Q7RMQ7,A0A8C0L407,A0A8C0T2X5,A0A8I3RYY5"
A2RU49,"A2RU49,A2RU49-3,A0A2K5L9U8,A0A2K5L9V9,H9FG62,A0A2K5L9T8,A0A2K6A8Z5,A0A2K6A8W1,A0A2K5I518,A0A2K5I5C4"
A2RUB1,"A2AG06,A2RUB1,A2AG06-2,A0A0R3P9D4,A0A8C6IB72,A0A6P5QX58,A0A6P5QTH1,A0A8J6GK51,A0A9B0WH96,A0A6I9Z5G0"
A2RUB6,"A2RUB6,F1PZQ5,Q6NS45,Q5RBD6,A2RUB6-3,A0A2J8T136,A0A2J8T130,A0A8M1M8A5,A0A6J2C900,A0A6J2CAY4"
A2RUC4,"A2RUC4,E1C7T6,A2RSX7,H2QZW0,A0A6D2Y4S8,A0A2R8ZVF5,A0A2I3H2N6,A0A096NZ37,A0A9B0TJU4,F6RIZ1"
A2RUH7,"A2RUH7,A0A2I2Y465,A0A8B7FGD5,A0A8C5V7C0,A0A8C9HW47,A0A2K5JFP2,A0A8C8Z164,A0A096NGF7,G1QQP2,A0A0D9S6J5"
A2VDJ0,"A2VDJ0,Q3U3D7,Q08DV9,A0A2I3MM25,F7EGI4,A0A8I5N194,F7EK39,A0A2K5TXF2,A0A2K6R549,A0A2K6R548"
A2VEC9,"A2VEC9,P98167,Q8CG65,Q700K0,A0A8M1MS83,A0A8D0VV92,A0A3Q0CAQ1,A0A1U8D1M8,A0A3Q0CGZ6,A0A3Q0CES1"
A3KMH1,"A3KMH1,Q8CC88,B0R0T1,A3KMH1-3,A3KMH1-2,A0A2K5D6J7,A0A8C9HYU6,A0A5F8AQI6,H2Q7H4,H2NJR2"
A4D0S4,"A4D0S4,A0A0D9RFM2,B7ZMJ6,H2QV85,A0A096NAR6,F6ZPP3,A0A2K5QW45,A0A2J8QXX0,A0A2J8QXW8,G3RKT7"
A4D126,"A4D126,A0A6Q8PHI3,A0A6Q8PG39,A0A8C9IIJ2,A0A2K5IL81,A0A2K5EM89,A0A6J3IKL6,G7MLR9,G7P191,A0A2K6CVD7"
A4D161,"A4D161,Q2VPL9,Q4V8D7,A0A6J3IKA7,A0A2K5D3R9,A0A2K5SDY9,A0A2K6SN29,A0A2K5KBZ5,A0A2K5KBY4,A0A2K5KBZ3"
A4D1B5,"A4D1B5,Q3TCV3,A0A2K5EQI7,A0A2K5EQJ0,H2PN31,H2QUT9,A0A6D2WZU8,A0A2I3S745,A0A6J3HRS0,A0A6J3HQB6"
A4D1E9,"A4D1E9,Q5M8V6,A0A6J3FT93,A0A6J3FUA0,A0A6J3FT99,A0A2K6UVE2,A0A2K5C6L1,F7IBY6,A0A2K5KQH4,A0A2K6RWJ3"
A4D1P6,"A4D1P6,Q5ZLL7,Q2HJE1,A0A804HHS8,A0A8I4A1Q5,A0A8I3WCC8,F7IHQ3,A0A2K6V4R0,A0A2K5RDS9,A0A7N9CYE2"
A4D1T9,"A4D1T9,Q32KU2,Q9DAA4,Q4R7Y7,A0A2I3SEW1,A0A2K5D4Q3,A0A2R9AXF9,A0A2I3T0N5,G3SGQ5,A0A2K6S397"
A4D256,"A4D256,A0A6J3GWL4,A0A2K5WTS3,A0A2K6AUZ9,A0A6P6IGP5,A0A2Y9TEC6,A0A8C3JQ48,A0A7K7TCS8,A0A8C3E6J8,A0A8C3E0J1"
A4D2B0,"A4D2B0,Q2HJB0,Q8BWY4,Q6AYD1,C9JAV3,A0A8I5NKR5,A0A8D2F020,G7MNT5,A0A8J8YHQ0,H2RBA2"
A4D2B8,"A4D2B8,A4D2B8-2,A4D2B8-3"
A4GXA9,"A4GXA9,A0A096NKX0,A0A0D9RG73,A0A2J8R975,A0A2J8R997,G1RBU9,A0A2K6BCB0,A0A5F7ZE88,A0A2K6RKP2,A0A2K6AKE4"
A4UGR9,"A4UGR9,Q4U4S6,Q71LX6,A4UGR9-8,A4UGR9-2,A0A5F9ZH43,A0A2I2Y538,A0A2I2ZCU9,H2R6F2,A0A2J8PQG3"
A5D8T8,"A5D8T8,Q6UXF7,Q8NCF0,G3S3M9,F5H550,H3BUD1,A0A096NLX1,F8W692,G3S2V5,A0A2I3MZ52"
A5D8V6,"A5D8V6,Q5R9T2,Q8R105,F5H4Q5,A0A5F8AHD5,F6V5N7,A0A2K6S161,A0A2K5DRD6,A0A6J3IAX1,A0A6J3I9E1"
A5D8V7,"A5D8V7,A7MBH5,Q8BSN3,K7EPK8,B7ZMB9,A0A2I3RAJ8,A0A2R9BWL2,H2NXM1,A0A2J8S0E7,G2HEH2"
A5D8W1,"A5D8W1,B0CM26,B0VXE6,Q8BH53,F8WBX7,A0A096NZV4,A0A8D2JVZ1,A0A8C9HXI0,A0A2K6TWV1,G1RYT3"
A5LHX3,"A5LHX3,A0A2K6S2U7,A0A6J3GUY5,A0A8D2FS49,A0A2K5HMP1,A0A8C9HHN7,A0A0D9SE83,A0A2K5KP09,G3QWR8,A0A2J8QJX1"
A5PKW4,"A5PKW4,F1MUS9,A0A8C0WRH8,A0A2Y9J1R0,A0A9X9LM27,A0A8C3WR92,A0A8B7V7L3,A0A8B7V617,I3MZ54,A0A2R9C2M6"
A5PLL7,"A5PLL7,A6QLM0,A0A6J3G1Z8,A0A2K5DF43,A0A2K5QER0,A0A2J8SF86,A0A2J8SF78,A0A2K6R3C3,A0A2I3G2L5,A0A7L3CDL3"
A5X5Y0,"A5X5Y0,Q70Z44,A0A2J8M5B4,G3SG94,A0A2R9A2G2,A0A8D2K7Q6,A0A6D2X4N3,A0A2I3S5K3,A0A2I3MLC8,A0A2K5ZL50"
A5YKK6,"A5YKK6,Q6ZQ08,A0JP85,A1A5H6,K7AME1,A0A803KJQ6,A0A2R8ZLN5,A0A2J8MVH9,A0A061I9G1,A0A1A6GY10"
A5YM72,"A5YM72,Q6ZPS2,A5YM72-3,A5YM72-2,A0A5E4A386,A0A834UR74,G5BSA8,H0W455,A0A2I3TBC5,A0A6D2WSA4"
A6BM72,"A6BM72,Q80T91,A0A8C0TUR0,A0A667FIH2,A0A667G310,A0A2I2V3T6,W5Q9R4,A0N017,A0A8C3X1S9,A0A6J3FMB5"
A6H8Y1,"A6H8Y1,G3QE27,A0A0G2JNU3,B1WB49,A6H8Y1-6,G1QWW0,A6H8Y1-7,H0YCV8,A0A5F7ZQL4,H2PFS7"
A6H8Z2,"A6H8Z2,A0A2I3SU08,A0A6D2Y5C5,A0A2R9AYK1,A0A2J8T0C8,A0A2J8T0B5,A0A2J8QRU4,F8W8N9,A0A8B7SZT2,A0A8C6DR94"
A6NC98,"A6NC98,A0A2I2ZQ80,A0A2K6MIN8,A0A2I3S528,H2Q400,A0A1D5QBD2,A0A2I3SVD7,A0A2K5LLJ4,A0A8D2K0C8,A0A2K5LLL7"
A6NCS4,"A6NCS4,A0A8I3X9Q7,A0A2R8ZWR1,A0A6J3IPB8,A0A2K6RYS6,A0A2K5DBM8,G1S1H0,G3REM7,A0A2K5RBH8,H2PPU4"
A6ND01,"A6ND01,A0A2I3LU31,A0A8D2EWF4,A0A2K6SRE9,A0A2K5UR81,A0A2K6LCX2,A0A2K5DWK8,A0A2K5YTW5,H2NEZ7,A0A6J3JAY2"
A6ND36,"A6ND36,Q5SWY7,F6VWC2,U3BLH7,A0A2K5SEB2,A0A2J8R0P4,A0A6J3H5H4,A0A2K6UUN3,K7B029,A0A6D2X926"
A6NDB9,"A6NDB9,A2TJV2,A0A590UJ36,K7EKN5,A0A2J8LUS3,A0A2J8LUR5,F7FV52,A0A5F7ZP43,G7NLZ0,A0A0A0MXI3"
A6NDE4,"Q15415,A6NEQ0,P0DJD4,P0DJD3,P0C7P1,A6NDE4,A0A2I3TBX3,A0A2I3RE87,A0A2I3S026,A0A2I3TBT0"
A6NDG6,"Q8CHP8,D3ZDK7,A6NDG6,Q2T9S4,Q9CVY8,A0A8C6GIM5,A0A6P5R2T2,A0A8L2Q5X6,A0A096NL24,A0A2J8S8D7"
A6NDV4,"A6NDV4,B1AWJ5,A6QLK4,A0A2R8Y2M5,A0A8J5ZVM6,A0A212C4X9,A0A8D0SDE2,A0A8D0MHH8,A0A8M1G5L8,A0A452R1Z3"
A6NED2,"A6NED2,Q4R828,Q8BTU7,A0A6D2WAC7,H2QA39,K7D7C4,A0A2J8L6L2,A0A2J8VXE0,G3QYT8,G3V2I3"
A6NEM1,"A6NEM1,A6NEF3,H0YKK7,A6NI86,A6NEM1-2,H9H563,A0A0M3HER8,A0A0J9YW09,B4DXR5,Q8NAK8"
A6NFA1,"A6NFA1,H2N7G9,A0A2K6RPH4,A0A2K5K3K0,K7BHI1,A0A6D2W3N9,A0A8C9IT03,A0A8D2E8G6,A0A2I2YYI1,A0A2R8ZEZ8"
A6NFQ2,"A6NFQ2,Q921K8,A6QLU7,A0A8C9LW37,A0A2K5WL51,A0A2K6ADG4,H9FHL1,G3QM00,A0A2K5HC95,A0A096N3X2"
A6NFX1,"Q3T9M1,A6NFX1,Q3T9M1-2,A0A8C6HU17,B8JK43,B8JK42,A0A6P5QN95,A0A6B0RKE0,L8IJ87,A0A8B9Y840"
A6NFY7,"A6NFY7,H2R660,A0A6D2Y555,A0A2R8ZEV3,G7PXB5,G1SB53,G7NMS8,G3R6P0,A0A6J3FIK1,A0A8C9GU33"
A6NGG8,"A6NGG8,Q6PAC4,A0A2J8VND0,H2QHP6,H2P6L1,A0A2J8K0I5,G3QKM9,A0A2R9A898,A0A8C8YJV5,G3T5C7"
A6NGQ2,"A6NGQ2,A9X185,Q0ZFW8,Q06VW1,A0A2J8RYS5,A0A8C9HZF6,A0A2K5CTU1,H2R751,A0A6D2WQ57,G1QKI2"
A6NGU5,"P19440,A6NGU5,Q60928,P07314,P36268,A0A140VJJ9,E7ET76,E7ETN1,E7EVF8,A0A6D2XKC6"
A6NHL2,"A6NHL2,A0A2K5R7M2,A0A2R9B9G3,A0A2K5ZGC2,A0A2K6TX25,H2N9N3,A0A2K5BUI3,A0A5F7ZVR9,A0A8I5N8Y3,G1RKQ3"
A6NHR9,"A6NHR9,A0A485MI38,A0A485MGT9,A0A8B7F1A0,A0A8B7F3K0,A0A8B7F306,A0A8B7WT82,A0A6J2BQ64,A0A3Q7QAC2,A0A8B7F1A3"
A6NI15,"A6NI15,Q9JK54,A0A1U7TRH2,G1SAY6,A0A2K5PMK9,F6ZG01,A0A8B7ADZ5,A0A2Y9E631,A0A9B0TB68,G3UDM1"
A6NI61,"A6NI61,Q6IQ69,A0A2R9AL72,G3RFK8,A0A096MSW3,A0A667IMW1,A0A7J8EF96,G7PR83,A0A8B7R1U2,A0A2U3YK13"
A6NI73,"A6NI73,G3SI43,H2P027,G3QR86,H2QH39,A0A2J8Q7Y5,A0A2I3TTE1,A0A2I2Y3X0,A0A2J8Q7Y4,A6NI73-2"
A6NIH7,"A6NIH7,Q6INE2,Q66JA9,A0A8C9LGZ4,F7IL48,I0FGY1,H2Q718,A0A6D2W3C1,A0A2K5KQW1,A0A096NQM7"
A6NIX2,"Q7TQJ8,A6NIX2,A0A8D0RMH5,A0A0D9QX44,A0A8I5N9U9,A0A8D2F6B7,A0A8C6CH67,H2NYD4,A0A6J3FH07,A0A2K5SIM2"
A6NJ46,"A6NJ46,A0A2I3LMG1,A0A0D9RRE4,A0A2K5YBA1,A0A2K5K3J5,A0A8C9IN91,G7PD94,H2R9U5,A0A6D2Y066,A0A2R8ZUI1"
A6NJ78,"A6NJ78,A0JN95,A0A0U1RRF2,K7C125,H2Q3C1,A0A6D2XZW0,A0A2J8P4B4,A0A2R9A2C6,A0A2K6QRP5,A0A2I3RDX5"
A6NK06,"A6NK06,A0A2J8PBG4,A0A2R9A889,H2Q7N6,G1S2F2,A0A2I3GJU7,F7FT06,A0A2K5CG89,A0A8D2EP40,A0A2K5RVU3"
A6NK58,"A6NK58,Q9D009,A0A6J3GAC4,A0A2K5LA43,A0A0D9QVH5,A0A096MRK8,A0A8D2G8Q1,A0A2K6TXS4,A0A8C9LRP9,F6W5F0"
A6NK89,"A6NK89,G7NDW3,A0A6B0QU64,A0A8B9WNB5,E1BF74,A0A4W2FV87,A0A6P5D311,A0A8D2F9E4,A0A0D9SD97,F6XVP0"
A6NKB5,"A6NKB5,B3KNZ5,A6NKB5-4,A0A096MMN0,A0A2K5KY03,A0A2K6BS35,G1QPU7,I2CU90,A0A8D2K0P7,F7F4U6"
A6NL88,"A6NL88,A0A2I3TAH4,A0A2J8IWU1,A0A1D5RL69,A0A2K5P6I1,A0A2K6RPW8,H2P082,A0A2K5PAU8,A0A6J3GMJ3,A0A7N4PLD3"
A6NMY6,"Q07936,P19620,A6NMY6,Q6TEQ7,Q2Q1M6,P04272,A2SW69,A0A8I6ANV9,A6KEW0,Q8R513"
A6NMZ7,"A6NMZ7,A0A6J3GX62,F7IJ63,A0A2K5R577,A0A2K5D7H9,A0A2K6TS20,A0A2K6QCJ8,A0A2K5XYG8,A0A1D5RDG7,A0A2K6B911"
A6NNB3,"A6NNB3,A0A671E682,L8Y8R5,A0A8D0I568,H2NC90,H2R5P5,A0A6D2XMN1,A0A2K6S5N4,A0A2R9B389,A0A2R8MEJ4"
A6NNM8,"A6NNM8,A0A0D9RX00,A0A2K5ZC72,A0A8C9IRY4,A0A8D2EGE9,H2R872,A0A2R8ZPT8,G7MVY3,A0A8J8XGI9,G7P9G1"
A6NNY8,"A6NNY8,H2PVM9,H9EQI3,A0A8I3B3X4,K7CUT1,A0A2K5NTG4,A0A096MMQ7,A0A2R8ZCQ6,A0A2K5X9U5,A0A2I3GLY5"
A6NNZ2,"Q3ZCM7,Q8WP14,A6NNZ2,A0A2R8MBA7,W5M384,W5M3A6,A0A6P6N6X0,A0A6P6N4W3,A0A6J3HBR0,A0A2R8N563"
A6PVC2,"A4Q9F1,A6PVC2,A0A6P5QY11,A0A6P5R551,A0A6P7QF35,A0A8C6HPQ8,A0A6P5RAJ6,Q8C0V2,A0A6P5K0E2,A0A6P5K0E3"
A7E2V4,"A7E2V4,Q3UHH1,A0A8C5JWJ7,S9XG05,A0A834AHH2,A0A2K5DMY2,H2NAI9,A0A2J8U5J1,A0A2J8U5J4,A0A2J8U5J9"
A7E2Y1,"A7E2Y1,A2AQP0,A7E2Y1-4,G5C6I8,A0A8B7FPC3,A0A2K5JM28,A0A2K6ACM8,A0A452CQ80,A0A673TL83,A0A673T9F1"
A7KAX9,"A7KAX9,Q811P8,Q6GPD0,A0A2X0SFD0,A0A7N9CNG6,A0A7N9IFV2,M1EC35,A0A452RVZ1,E9PRH3,A0A2J8WZH6"
A7MCY6,"A7MCY6,Q6DG50,A2A9T0,J3KS71,F5H1U4,H2QDA4,A0A6D2WRZ8,A0A2J8J9G5,A0A2J8J9H2,G3QIG2"
A7MD48,"A7MD48,V5T9A0,F6YKL5,F6WTD5,H9EZZ5,A0A2K6E3Z3,A0A096N1Z3,A0A2K5WV13,U3ELW3,A0A2K5YY47"
A7XYQ1,"Q0P5V2,A7XYQ1,A7XYI6,A7XYH5,A7XYH9,Q3U295,A0A6P3Q4B3,A0A0D9RQW5,G7P455,A0A7J8KHD3"
A8CG34,"Q96HA1,Q8K3Z9,P52591,A8CG34,Q96HA1-2,A8MY32,A0A2J8Q056,H2QUS2,A0A6D2XXR0,A0A2J8Q061"
A8K0Z3,"Q8VDD8,Q6VEQ5,A8K0Z3,A0A8C6MNU7,A0A8C6RTY4,A0A3B2WDA2,A0A3Q1HBF2,A0A7N6BT17,A0A3Q1IKM9,A0A3B4YL93"
A8K2U0,"A8K2U0,H0YGG5,H2R2T1,A0A2R9BBW6,B3KVV6,A0A9J7H832,A0A3Q0CI02,A0A6J2ZZ37,A0A8B7VYZ3,G1T6L2"
A8K4G0,"A8K4G0,G3RCC4,H2QDS8,A0A6D2WYA1,A0A2R8ZR92,A0A2J8KBX3,H2NUM1,A0A2J8Y039,G7NGM1,G7PVB8"
A8K7I4,"A8K7I4,Q9D7Z6,Q9TUB5,A0A2R9CEL0,A0A2K6UF57,A0A2K5RLG4,A0A2J8SKW3,A0A2K5EHR5,F7CTH0,A0A6J3JBD8"
A8K830,"A8K830,A0A2K5Q0N3,A0A8I3X503,A0A2K5DDL9,A0A2K6CPT7,A0A2I3TV32,A0A6D2XGB7,A0A2J8L0I6,A0A2J8L0H7,A0A2K6L9Y4"
A8K8P3,"A8K8P3,A9CB34,K7CAI0,A0A2K6L9K5,A0A2K5LWD2,A0A2R9BGJ9,A0A2K5YB33,A0A8D2G0I4,A0A096NJM8,A0A2K6NTL8"
A8K8V0,"A8K8V0,A0A2I3GKJ6,H2QAY1,A0A6D2YBL2,A0A2R9CSC7,G3R6B5,H2NQP1,K7B8K3,K7CYV6,A0A2J8INV8"
A8MPY1,"A8MPY1,A0A0D9R0Z5,G7MJV1,A0A096NU75,F6YLK3,A0A2K5UN91,A0A7N9IEC9,A0A2K6RCG0,A0A6J3HR16,A0A8C5PB61"
A8MQ03,"A8MQ03,A0JNN6,Q9D1E4,A0A0D9SE87,G1SAM8,A0A8J6GA65,A0A5N3US86,A0A5J5MLT1,A0A833S4V2,A0A212CXW0"
A8MQ27,"A8MQ27,A0A8M1FVP4,A0A8C0KDR3,A0A9W2W943,A0A452EAQ5,A0A2K5QD25,A0A2I3TEI1,A0A480RFP0,M3YMU9,A0A8C7C1H0"
A8MT69,"A8MT69,A0A2J8JFR3,A0A8D2K0D5,J3QR01,A0A2J8JFR4,A0A3Q2UVB1,A0A4W6G2S4,A0A674DTZ5,A0A8C8ME03,G7NHB6"
A8MTA8,"A8MTA8,A0A0D9RD84,A0A2K6JRX7,A0A2K6Q746,A0A8C9LPA2,F7GT61,A0A8J8XNF8,A0A2R9BCK5,A0A2J8QRX3,G3R0X9"
