UniProtID,Freq_cut_off
O00299,4.1
O00300,4.1
O00303,4.1
O00305,4.28
O00308,4.1
O00311,4.1
O00322,4.1
O00327,4.1
O00329,4.18
O00330,3.409763568781692
O00337,4.1
O00338,4.1
O00339,4.1
O00341,4.1
O00358,4.1
O00370,4.1
O00391,4.1
O00399,4.1
O00400,4.18
O00401,4.1
O00408,4.1
O00409,4.1
O00410,4.1
O00411,1.7270682206129293
O00418,4.1
O00421,4.1
O00422,4.1
O00423,4.1
O00425,4.1
O00429,3.683406982965827
O00442,4.1
O00443,4.1
O00444,3.714433690163594
O00445,4.1
O00451,4.1
O00453,4.1
O00459,4.832381422560987
O00461,4.1
O00462,3.3193146532634157
O00463,4.1
O00468,2.745075069530615
O00469,2.8213510544908837
O00470,4.1
O00471,4.1
O00472,4.1
O00476,4.28
O00478,4.1
O00481,4.1
O00482,4.1
O00483,4.1
O00487,4.1
O00488,4.1
O00499,4.025715415604839
O00501,4.1
O00505,4.1
O00506,4.1
O00507,4.1
O00512,4.1
O00519,4.1
O00522,4.1828142255578475
O00526,4.1
O00533,4.1
O00541,4.1
O00548,4.02628808981879
O00555,4.616412608717344
O00559,4.1
O00560,4.1
O00562,4.1
O00566,4.1
O00567,4.28
O00571,4.725078187573154
O00574,4.1
O00584,4.1
O00585,4.1
O00587,4.1
O00590,4.1
O00591,4.1
O00592,4.1
O00602,4.1
O00622,4.1
O00623,3.683406982965827
O00624,4.1
O00625,4.1
O00626,4.1
O00628,3.682145510668531
O00629,4.1
O00631,4.1
O00635,4.1
O00712,4.28
O00716,4.1
O00743,4.1
O00744,4.0155694573472385
O00746,4.1
O00748,4.1
O00750,4.1
O00754,3.3827374829086256
O00755,4.1
O00757,4.1
O00762,4.1
O00763,4.1
O00764,4.1
O00767,4.1
O14490,4.1
O14492,4.1
O14493,4.1
O14494,4.1
O14495,4.1
O14497,4.28
O14503,4.1
O14508,4.1
O14511,4.1
O14512,4.1
O14514,4.1
O14519,4.1
O14520,4.1
O14521,3.540078538119119
O14522,4.1
O14523,4.1
O14524,4.1
O14525,4.1
O14526,4.183781907203631
O14529,4.28
O14530,4.1
O14531,4.1
O14543,4.1
O14544,4.1
O14556,4.1
O14558,4.1
O14559,4.1
O14561,4.1
O14569,4.1
O14576,4.1
O14578,3.540078538119119
O14579,4.1
O14593,3.7065468385896136
O14594,4.1
O14595,4.1
O14607,4.1
O14610,4.1
O14613,4.1
O14617,4.1
O14618,4.1
O14625,4.1
O14627,4.1
O14628,4.1
O14633,4.1
O14638,4.1
O14639,4.1
O14640,4.28
O14641,4.1
O14645,4.1
O14646,4.28
O14647,3.976348419888882
O14649,4.28
O14653,3.238548042290191
O14654,4.1
O14656,4.18
O14657,4.1
O14662,4.28
O14669,4.1
O14672,4.28
O14678,3.4154742914489993
O14681,4.1
O14682,4.1
O14684,4.1
O14686,3.683046786348123
O14713,4.1
O14717,4.1
O14727,4.1
O14730,4.1
O14732,4.1
O14733,4.1
O14734,4.1
O14735,4.1
O14737,4.1
O14744,4.1
O14745,4.28
O14746,2.947106074781034
O14756,4.1
O14757,4.1
O14763,4.1
O14764,4.28
O14770,4.28
O14771,4.1
O14772,4.1
O14773,3.7148321554434154
O14775,3.882410559297175
O14776,4.1
O14777,4.1
O14782,4.1
O14786,4.1
O14787,4.1
O14788,4.1
O14791,4.1
O14792,4.1
O14793,4.1
O14795,4.1
O14796,4.1
O14798,4.1
O14802,3.681602720782489
O14804,4.1
O14807,4.28
O14810,4.1
O14813,4.1
O14815,4.1
O14817,4.1
O14818,4.1
O14827,4.1
O14828,4.1
O14829,4.1
O14830,4.1
O14832,3.683046786348123
O14836,3.320562109278397
O14841,3.4141378746522677
O14842,4.1
O14843,4.1
O14862,4.1
O14863,4.1
O14867,4.1
O14874,4.1
O14879,4.1
O14880,4.1
O14893,4.1
O14894,4.1
O14896,4.28
O14901,4.1
O14904,4.1
O14905,4.1
O14907,4.1
O14908,4.28
O14910,4.1
O14917,4.1
O14920,4.315676284352455
O14924,4.1
O14925,4.1
O14926,4.1
O14929,4.1
O14931,4.1
O14933,4.1
O14936,4.726408488712632
O14939,4.1
O14944,4.1
O14948,4.1
O14949,4.1
O14950,4.1
O14958,3.3201461949092224
O14960,4.1
O14964,4.1
O14965,4.28
O14966,4.1
O14967,4.1
O14972,4.1
O14974,4.28
O14975,4.1
O14976,4.1
O14977,4.1
O14978,4.1
O14979,4.28
O14980,4.1
O14981,4.1
O14983,3.318481083901998
O14986,4.1
O14994,4.1
O15013,4.28
O15014,4.1
O15015,4.1
O15018,4.1
O15020,4.832777215838798
O15021,4.1
O15027,4.1
O15031,4.1
O15033,4.1
O15040,4.832523157798864
O15041,4.28
O15042,4.1
O15047,3.080806808677307
O15049,4.1
O15054,4.28
O15055,4.28
O15056,4.1
O15060,4.1
O15061,4.1
O15062,4.1
O15066,4.28
O15067,4.1
O15068,4.1
O15072,4.1
O15075,4.1
O15078,3.317226960048739
O15079,4.1
O15083,4.1
O15084,4.1
O15085,4.1
O15091,4.1
O15105,4.1
O15111,4.1
O15116,4.1
O15117,4.1
O15118,3.3209766035127677
O15119,4.28
O15120,3.5759845501780108
O15121,3.320562109278397
O15123,4.28
O15126,4.1
O15127,4.1
O15130,4.1
O15131,4.1
O15143,4.18435053924197
O15144,4.1
O15145,4.1
O15146,3.8825828589336684
O15151,4.28
O15155,4.1
O15156,4.1
O15160,3.0701801756506617
O15162,4.1
O15164,4.1
O15165,4.1
O15169,4.1
O15173,4.1
O15178,4.18
O15182,4.1
O15194,4.1
O15195,4.1
O15197,4.1
O15198,4.28
O15204,4.1
O15205,4.1
O15209,4.1
O15211,4.1
O15212,4.1
O15213,4.1
O15217,4.1
O15226,4.1
O15228,4.531683691730211
O15229,4.1
O15230,2.6734388560358067
O15231,4.1
O15232,4.18
O15234,4.1
O15239,4.1
O15240,4.1
O15243,4.1
O15244,4.1
O15245,4.1
O15247,4.1
O15254,4.1
O15258,4.1
O15259,3.0578986457290074
O15260,4.1
O15263,4.1
O15264,4.1
O15265,4.28
O15266,4.832789036109661
O15269,4.28
O15270,4.28
O15273,3.7153346976897366
O15287,3.548840136914329
O15294,4.724465219837334
O15296,4.1
O15297,3.684126175152859
O15303,2.8796696051831607
O15304,4.1
O15305,3.683767478572607
O15315,4.1
O15318,4.1
O15327,4.1
O15342,4.1
O15344,4.2492309524151235
O15347,4.1
O15350,4.1
O15353,4.0259610842690785
O15354,4.1
O15355,4.1
O15357,4.617104445298665
O15360,3.248218360111776
O15371,4.1
O15372,4.1
O15374,4.1
O15379,4.1
O15381,4.1
O15382,4.1
O15389,4.1
O15391,4.1
O15392,4.1
O15393,4.1
O15394,4.1
O15397,4.5317088065162
O15399,4.28
O15400,4.1
O15405,4.1
O15409,4.28
O15427,4.1
O15431,4.1
O15432,4.1
O15438,4.1
O15439,4.1
O15440,4.1
O15444,4.1
O15446,4.1
O15455,4.18
O15457,4.1
O15460,4.28
O15466,4.1
O15467,4.1
O15479,4.1
O15481,4.1
O15484,4.28
O15488,4.1
O15492,4.1
O15496,4.1
O15498,4.1
O15499,4.1
O15503,4.1
O15504,4.1
O15511,4.1
O15514,4.1
O15516,4.1
O15519,4.1
O15520,4.28
O15522,4.1
O15523,4.1
O15524,4.28
O15525,4.1
O15527,4.1
O15528,3.3209766035127677
O15529,4.1
O15530,4.1
O15533,4.1
O15534,4.1
O15535,4.1
O15537,4.1
O15540,4.1
O15541,4.28
O15547,4.1
O15550,4.28
O15551,4.1
O15552,4.1
O15553,3.684665826676537
O15554,4.28
O42043,4.1
O43143,4.1
O43147,4.1
O43148,4.1
O43149,4.1
O43150,4.1
O43151,3.2037581055852264
O43155,4.1
O43156,4.1
O43157,4.1
O43159,4.1
O43164,4.1
O43166,4.1
O43167,4.140193655561024
O43169,4.1
O43172,4.28
O43173,4.1
O43174,4.1
O43175,4.3163901853678945
O43181,4.316033088169789
O43182,4.1
O43184,4.1
O43186,3.7153346976897366
O43187,4.1
O43189,4.1
O43193,4.1
O43194,4.1
O43196,4.1
O43236,4.1
O43237,4.1
O43242,4.1
O43248,4.1
O43251,4.1
O43252,4.1
O43255,4.1
O43257,4.1
O43264,4.1
O43272,4.18
O43278,4.1
O43280,4.1
O43281,4.1
O43283,4.1
O43286,4.1
O43290,4.1
O43291,3.3209766035127677
O43292,3.238548042290191
O43293,4.1
O43294,4.1
O43295,4.1
O43296,4.1
O43298,4.1
O43299,3.0634586123402383
O43300,4.1
O43303,4.1
O43306,4.1
O43307,4.1
O43309,4.1
O43310,4.1
O43312,4.1
O43313,4.1
O43314,4.1
O43315,4.1
O43316,4.18
O43318,4.28
O43320,4.1
O43323,4.1
O43324,4.1
O43353,4.1
O43364,4.18
O43365,4.1
O43374,4.1
O43379,3.5384474523842457
O43390,4.1
O43395,4.28
O43396,4.1
O43399,4.1
O43402,4.1
O43405,3.6835871933647724
O43422,4.1
O43424,4.1
O43426,3.319730678471124
O43427,4.1
O43432,4.1
O43435,4.28
O43439,4.1
O43447,4.1
O43451,4.1
O43462,4.1
O43463,4.1
O43464,3.3188981211274027
O43474,4.1
O43482,4.1
O43488,4.1
O43490,2.499686665695901
O43491,4.1
O43493,4.1
O43497,4.28
O43502,4.140067724084814
O43504,4.1
O43505,4.1
O43506,4.1
O43508,4.1
O43511,3.184179937810707
O43513,4.1
O43516,4.1
O43520,2.2610245282491896
O43521,4.1
O43524,4.1
O43525,4.026206430672121
O43526,4.617629898821821
O43529,4.1
O43541,4.179321801075469
O43542,4.28
O43543,3.716002648764184
O43548,2.9102149540369586
O43556,4.28
O43557,4.1
O43559,4.1
O43561,4.1
O43566,4.1
O43567,4.28
O43570,4.1
O43572,4.1
O43581,4.1
O43583,4.1
O43586,4.28
O43592,4.1
O43593,4.120231685696712
O43597,4.28
O43598,4.1
O43602,4.1
O43603,4.1
O43609,4.1
O43610,4.1
O43612,4.28
O43613,4.1
O43614,4.1
O43615,4.1
O43617,4.1
O43623,4.18
O43633,4.1
O43639,4.1
O43653,4.1
O43660,4.1
O43663,4.1
O43665,4.1
O43670,4.1
O43674,4.1
O43676,4.1
O43678,4.1
O43679,4.1
O43680,4.1
O43681,4.1
O43683,4.1
O43684,4.1
O43687,4.1
O43688,4.1
O43699,4.1
O43704,4.1
O43707,4.28
O43708,4.1
O43709,4.1
O43711,4.1
O43715,4.1
O43716,4.1
O43719,4.1
O43731,4.1
O43734,3.707002273237836
O43739,4.1
O43741,4.1
O43745,4.1
O43747,4.1
O43749,4.1
O43752,4.1
O43759,4.1
O43760,4.1
O43761,4.1
O43763,4.1
O43765,4.1
O43766,3.3832766886255663
O43768,4.1
O43772,3.1539723246356215
O43776,4.18
O43781,4.1
O43790,4.28
O43791,4.28
O43795,4.1
O43805,4.1
O43808,4.1
O43809,4.1
O43813,4.1
O43815,4.1
O43818,4.1
O43819,3.3209766035127677
O43820,4.1
O43822,3.415139801510819
O43823,4.1
O43825,4.1
O43826,3.7101168613305093
O43827,4.1
O43829,4.1
O43837,4.1
O43847,4.1
O43852,4.1
O43854,4.1
O43861,4.1
O43865,4.1
O43866,4.1
O43868,4.1
O43889,4.1
O43895,4.1
O43896,4.6172933194340695
O43897,4.28
O43900,4.28
O43903,4.1
O43909,4.1
O43913,4.1
O43914,4.1
O43915,4.1
O43916,4.1
O43918,3.6826868882241617
O43920,4.1
O43921,4.1
O43924,4.1
O43927,4.1
O43929,3.657056478241608
O43933,3.3830972287438006
O60216,4.18
O60218,4.1
O60220,4.1
O60229,4.1
O60231,4.28
O60232,4.1
O60235,4.1
O60237,4.1
O60238,4.1
O60239,4.1
O60240,4.28
O60241,4.1
O60242,4.1
O60243,4.28
O60244,4.1
O60248,4.1
O60256,4.1
O60258,4.28
O60259,4.1
O60260,3.3201461949092224
O60264,4.1
O60266,4.1
O60269,4.1
O60271,4.1
O60281,4.182871127283665
O60282,4.28
O60284,4.1
O60285,4.1
O60291,4.1
O60292,4.1
O60293,4.1
O60294,4.1
O60296,4.1
O60303,3.18400940336952
O60304,4.1
O60306,4.1
O60307,4.1
O60308,3.3201461949092224
O60312,4.1
O60313,4.140319623563918
O60315,4.28
O60318,3.6839478386520947
O60331,4.1
O60333,4.28
O60336,4.1
O60337,4.1
O60341,4.28
O60343,4.1
O60346,4.1
O60353,4.1
O60356,4.1
O60359,4.1
O60381,4.1
O60383,4.1
O60391,4.1
O60393,4.28
O60423,4.1
O60427,4.1
O60437,4.1
O60443,4.28
O60447,4.1
O60449,4.1
O60462,4.1
O60469,4.1
O60476,4.1
O60477,4.1
O60478,4.1
O60479,4.28
O60481,4.1
O60486,4.1
O60487,4.1
O60488,4.28
O60493,4.1
O60494,2.518760949951919
O60496,4.1
O60499,4.1
O60500,3.238213442970149
O60502,4.1
O60503,4.1
O60504,4.1
O60506,4.1
O60507,4.1
O60508,4.1
O60512,4.1
O60513,4.1
O60516,4.1
O60519,4.1
O60524,4.133704979584735
O60543,4.1
O60547,4.1
O60548,4.1
O60551,4.1
O60563,4.1
O60565,4.1
O60566,3.682507050942422
O60568,4.1
O60573,4.1
O60583,4.1
O60602,4.28
O60603,4.28
O60609,4.1
O60610,3.2041199826559246
O60613,4.1
O60635,4.1
O60636,4.1
O60641,4.1
O60645,4.1
O60656,4.1
O60658,4.1
O60662,4.05433203970402
O60663,4.8326501682411465
O60664,4.1
O60667,4.1
O60669,4.1
O60671,4.1
O60673,4.1
O60674,4.28
O60675,4.1
O60678,4.1
O60682,4.1
O60683,3.540580369683846
O60684,4.1
O60687,4.1
O60701,3.320562109278397
O60704,4.1
O60706,3.6839478386520947
O60711,4.1
O60716,4.1
O60721,2.499686665695901
O60725,4.1
O60729,4.1
O60733,3.1141103706464626
O60741,4.28
O60749,4.1
O60755,4.1
O60759,4.1
O60760,4.1
O60762,3.7161697971748
O60763,4.1
O60779,3.540580369683846
O60783,4.1
O60784,4.1
O60806,3.987563523005746
O60812,4.1
O60814,4.1
O60825,4.1
O60826,4.1
O60828,4.1
O60829,4.1
O60830,4.1
O60831,4.1
O60832,4.486005096028999
O60840,3.4235734120277175
O60841,4.1
O60844,4.1
O60858,4.1
O60861,4.1
O60869,4.1
O60870,4.1
O60879,4.28
O60880,4.1
O60882,4.1
O60883,4.1
O60884,4.1
O60885,4.1
O60888,4.1
O60890,4.1
O60894,4.1
O60895,4.1
O60896,4.1
O60902,4.1
O60906,4.1
O60907,4.1
O60909,4.1
O60911,4.1
O60921,4.1
O60927,4.1
O60928,4.1
O60930,4.1
O60931,3.8828082770348247
O60934,3.716002648764184
O60936,4.28
O60938,4.1
O60939,4.28
O60941,4.1
O60942,4.1
O75015,4.1
O75019,4.1
O75022,4.1
O75023,4.1
O75027,4.1
O75030,4.0249778623059935
O75031,4.1
O75037,4.1
O75038,4.1
O75044,4.1
O75051,4.1
O75052,4.1
O75054,4.1
O75056,4.18
O75061,4.1
O75063,4.1
O75069,4.1
O75072,4.139732085228818
O75074,4.1
O75077,4.1
O75078,4.1
O75081,4.1
O75083,4.1
O75084,4.1
O75093,4.1
O75094,4.1
O75096,3.540078538119119
O75106,4.1
O75110,4.1
O75112,4.28
O75113,4.1
O75116,4.1
O75121,4.1
O75122,4.1
O75127,4.1
O75128,4.1
O75129,3.3188981211274027
O75131,4.1
O75132,4.1
O75140,3.723372781815271
O75143,4.1
O75144,4.1
O75145,4.1
O75146,4.1
O75147,2.9326426859624597
O75150,4.1
O75151,4.1
O75152,4.1
O75154,4.1
O75155,4.1
O75159,4.1
O75161,3.275164824419692
O75164,4.1
O75165,4.1
O75167,4.1
O75170,4.1
O75173,4.1
O75175,4.28
O75177,4.1
O75179,4.1
O75182,4.1
O75185,4.1
O75190,4.28
O75191,4.1
O75192,4.1
O75197,3.3188981211274027
O75204,4.01559016457469
O75208,3.7249306275581344
O75223,4.1
O75251,4.1
O75293,4.1
O75298,3.3201461949092224
O75306,3.683767478572607
O75309,4.1
O75311,4.1
O75312,4.1
O75317,4.1
O75319,4.1
O75323,4.1
O75324,4.1
O75326,4.1
O75330,4.28
O75334,4.1
O75339,4.1
O75340,4.1
O75342,3.617649705735036
O75343,4.1
O75344,4.1
O75347,4.1
O75348,4.1
O75351,4.1
O75354,4.1
O75355,4.1
O75356,4.1
O75360,3.8830935322935174
O75362,4.1
O75364,4.18
O75365,4.1
O75366,4.1
O75367,4.1
O75368,4.1
O75369,4.133807211502779
O75376,4.1
O75379,4.1
O75381,4.1
O75382,4.1
O75385,4.1
O75386,4.1
O75387,4.1
O75390,4.1
O75396,4.1
O75398,4.183554530144506
O75400,4.1
O75409,4.1
O75410,4.1
O75414,4.1
O75417,4.1
O75419,3.20736531368052
O75420,4.1
O75425,4.1
O75427,4.1
O75431,4.1
O75436,4.1
O75438,4.1
O75439,4.1
O75443,4.1
O75444,4.28
O75445,1.8081858280016583
O75446,4.1
O75448,4.1
O75449,4.1
O75452,4.1
O75460,4.1
O75461,4.1
O75462,3.319730678471124
O75469,4.1
O75473,4.1
O75475,4.1
O75477,4.1
O75478,4.1
O75486,4.1
O75487,4.1
O75489,4.1
O75494,4.1
O75496,4.28
O75503,3.9184510765558556
O75506,4.1
O75508,4.28
O75509,4.1
O75521,4.1
O75525,4.1
O75528,4.1
O75529,4.1
O75530,4.28
O75531,4.1
O75533,4.1
O75534,4.1
O75553,4.28
O75554,4.1
O75556,4.1
O75558,3.5814948701833567
O75563,4.1
O75564,4.1
O75569,4.1
O75570,4.1
O75575,4.1
O75578,4.1
O75581,4.140256634995311
O75582,4.1
O75586,4.1
O75592,4.1
O75593,4.1
O75594,4.1
O75600,4.1
O75602,4.1
O75603,3.019946607848787
O75604,4.1
O75607,4.1
O75608,4.1
O75610,4.1
O75616,4.1
O75618,4.1
O75626,4.1
O75628,4.1
O75629,4.1
O75631,4.1
O75636,4.1
O75638,4.1
O75643,4.28
O75648,3.20610629065066
O75663,4.1
O75665,4.424849117877749
O75674,4.1
O75676,4.1
O75677,4.1
O75678,4.1
O75679,4.1
O75683,4.1
O75688,4.1
O75689,4.1
O75691,4.1
O75694,4.1
O75695,4.1
O75712,4.18
O75716,4.1
O75717,4.1
O75718,3.683767478572607
O75746,3.6828668000052693
O75747,4.1
O75751,4.1
O75752,4.1
O75762,4.28
O75771,4.184123527957499
O75781,4.1
O75783,4.1
O75787,4.1
O75791,4.1
O75792,3.4238188038111113
O75794,4.1
O75795,4.1
O75800,3.0083163835712696
O75807,4.1
O75808,4.1
O75815,4.1
O75817,4.1
O75818,4.1
O75821,4.1
O75822,4.1
O75828,4.1
O75829,4.1
O75832,4.1
O75838,3.3209766035127677
O75840,4.1
O75841,4.1
O75843,4.1
O75844,3.54892159628431
O75845,4.1
O75864,4.1
O75865,4.1
O75871,4.1
O75874,4.1
O75879,4.1
O75880,4.1
O75881,3.315550529210371
O75882,4.1
O75884,4.1
O75886,4.1
O75888,4.1
O75891,4.1
O75896,4.1
O75897,4.1
O75899,4.28
O75900,4.1
O75907,3.1811897202371675
O75908,4.1
O75909,4.28
O75911,4.1
O75912,4.1
O75914,4.1
O75915,4.1
O75916,3.7158355646598027
O75920,4.1
O75923,3.2812036223378307
O75925,4.1
O75928,4.1
O75934,4.1
O75935,4.1
O75936,4.1
O75937,4.1
O75940,4.1
O75943,4.1
O75951,4.1
O75952,4.1
O75955,4.1
O75956,4.1
O75962,4.617126026757258
O75969,4.1
O75970,3.071554985112978
O75971,4.1
O75976,4.1
O75995,4.1
O76003,4.1
O76011,4.1
O76013,4.1
O76014,4.1
O76015,4.1
O76021,4.1
O76024,3.6843066842895476
O76027,4.1
O76031,4.28
O76036,4.1
O76039,4.48479797840155
O76041,4.1
O76050,4.1
O76054,4.1
O76061,4.1
O76062,4.1
O76064,4.1
O76070,4.1
O76071,4.1
O76074,4.1
O76075,4.1
O76076,4.1
O76080,4.1
O76081,4.1
O76082,3.683767478572607
O76083,4.1
O76090,2.637238640925516
O76093,4.1
O76094,4.28
O76095,4.1
O76096,4.1
O77932,4.1
O94759,4.1
O94760,4.1
O94761,2.2555176901066107
O94762,4.1
O94763,4.1
O94766,3.582063536629536
O94768,4.1
O94769,4.1
O94776,4.1
O94777,4.1
O94778,4.1
O94779,4.1
O94782,4.1
O94788,4.1
O94804,4.1
O94805,4.531695510272113
O94806,4.1
O94808,4.1
O94810,4.1
O94811,4.1
O94812,4.1
O94813,4.1
O94817,4.1
O94818,4.1
O94822,4.1
O94823,4.1
O94826,4.1
O94827,4.054485131981512
O94829,4.1
O94830,3.724193578593295
O94832,4.1
O94842,4.1
O94850,4.1
O94851,4.1
O94855,3.2388821468210716
O94856,4.1
O94864,4.1
O94868,4.1
O94874,4.1
O94875,4.1
O94876,4.1
O94880,4.1
O94885,4.18
O94886,4.28
O94887,4.1
O94888,4.1
O94892,4.1
O94898,4.1
O94900,4.1
O94901,4.1
O94905,4.832673802189571
O94906,4.28
O94907,4.1
O94910,4.1
O94911,4.1
O94913,4.1
O94915,4.1
O94916,4.1
O94919,4.1
O94921,4.1
O94923,4.1
O94925,4.18
O94927,4.1
O94929,4.1
O94933,4.1
O94941,4.1
O94953,4.28
O94955,4.1
O94956,4.1
O94964,4.1
O94966,4.1
O94967,4.1
O94972,2.052178233432523
O94973,4.1
O94979,4.1
O94983,4.1
O94985,4.1
O94986,2.9382686365894974
O94989,4.1
O94991,4.1
O94992,4.1
O94993,4.1
O95045,4.1
O95047,4.1
O95049,4.1
O95050,4.1
O95057,4.1
O95059,4.1
O95067,4.1
O95069,4.1
O95070,4.1
O95071,4.1
O95072,4.1
O95073,4.1
O95096,4.1
O95104,4.1
O95125,4.1
O95136,4.1
O95139,4.1
O95140,3.540580369683846
O95147,4.1
O95149,4.1
O95150,4.1
O95153,4.1
O95154,4.1
O95155,4.1
O95159,4.1
O95163,3.320562109278397
O95166,4.1
O95167,4.1
O95168,4.1
O95169,4.1
O95171,4.1
O95180,4.28
O95182,4.1
O95183,4.1
O95185,4.1
O95196,4.1
O95197,4.1
O95198,4.1
O95201,4.1
O95202,4.1
O95206,4.1
O95208,4.1
O95210,4.1
O95214,4.1
O95218,4.1
O95219,4.1
O95229,4.1
O95231,4.1
O95232,4.1
O95235,4.1
O95236,4.1
O95237,4.1838959720176145
O95238,4.1
O95239,4.1
O95243,4.1
O95248,3.016364693353718
O95249,4.1
O95251,4.1
O95255,2.3724098841212804
O95256,4.1
O95257,4.1
O95258,4.1
O95259,4.28
O95260,4.1
O95263,4.28
O95264,4.1
O95267,3.684126175152859
O95271,4.1
O95273,4.1
O95274,4.1
O95278,3.059689754299552
